Date,Resting,High
,,
May 25,64 bpm,89 bpm
May 24,67 bpm,131 bpm
May 23,63 bpm,134 bpm
May 22,63 bpm,128 bpm
May 21,64 bpm,142 bpm
May 20,66 bpm,120 bpm
May 19,67 bpm,137 bpm
May 18,64 bpm,125 bpm
May 17,69 bpm,135 bpm
May 16,65 bpm,135 bpm
May 15,66 bpm,127 bpm
May 14,68 bpm,149 bpm
May 13,66 bpm,131 bpm
May 12,66 bpm,138 bpm
May 11,62 bpm,115 bpm
May 9,63 bpm,132 bpm
May 8,66 bpm,132 bpm
May 7,65 bpm,126 bpm
May 6,63 bpm,113 bpm
May 5,64 bpm,129 bpm
May 4,60 bpm,117 bpm
May 3,63 bpm,123 bpm
May 2,63 bpm,142 bpm
May 1,63 bpm,146 bpm
Apr 30,65 bpm,129 bpm
Apr 29,61 bpm,169 bpm
Apr 28,62 bpm,155 bpm
Apr 27,62 bpm,111 bpm
Apr 22,65 bpm,102 bpm
Apr 21,62 bpm,126 bpm
Apr 20,59 bpm,127 bpm
Apr 19,62 bpm,124 bpm
Apr 18,62 bpm,128 bpm
Apr 17,63 bpm,166 bpm
Apr 16,59 bpm,121 bpm
Apr 15,59 bpm,157 bpm
Apr 14,57 bpm,121 bpm
Apr 13,62 bpm,135 bpm
Apr 12,60 bpm,123 bpm
Apr 11,59 bpm,115 bpm
Apr 10,59 bpm,132 bpm
Apr 9,61 bpm,118 bpm
Apr 8,65 bpm,115 bpm
Apr 7,62 bpm,129 bpm
Apr 6,60 bpm,138 bpm
Apr 5,62 bpm,111 bpm
Apr 4,64 bpm,136 bpm
Apr 3,59 bpm,119 bpm
Apr 2,64 bpm,136 bpm
Apr 1,60 bpm,146 bpm
Mar 31,61 bpm,121 bpm
Mar 30,61 bpm,124 bpm
Mar 29,63 bpm,124 bpm
Mar 28,65 bpm,138 bpm
Mar 27,59 bpm,127 bpm
Mar 26,60 bpm,126 bpm
Mar 25,66 bpm,119 bpm
Mar 24,56 bpm,143 bpm
Mar 23,58 bpm,109 bpm
Mar 22,64 bpm,119 bpm
Mar 21,63 bpm,141 bpm
Mar 20,60 bpm,143 bpm
Mar 19,59 bpm,126 bpm
Mar 18,60 bpm,141 bpm
Mar 17,58 bpm,123 bpm
Mar 16,56 bpm,142 bpm
Mar 15,58 bpm,115 bpm
Mar 14,60 bpm,123 bpm
Mar 13,60 bpm,148 bpm
Mar 12,58 bpm,142 bpm
Mar 11,60 bpm,131 bpm
Mar 10,56 bpm,134 bpm
Mar 9,56 bpm,97 bpm
Mar 8,59 bpm,128 bpm
Mar 7,55 bpm,127 bpm
Mar 6,53 bpm,130 bpm
Mar 5,59 bpm,131 bpm
Mar 4,56 bpm,142 bpm
Mar 3,57 bpm,133 bpm
Mar 2,57 bpm,125 bpm
Mar 1,67 bpm,135 bpm
Feb 28,61 bpm,143 bpm
Feb 27,61 bpm,136 bpm
Feb 26,60 bpm,122 bpm
Feb 25,56 bpm,129 bpm
Feb 24,59 bpm,145 bpm
Feb 23,54 bpm,155 bpm
Feb 22,56 bpm,124 bpm
Feb 21,55 bpm,105 bpm
Feb 20,58 bpm,131 bpm
Feb 19,58 bpm,153 bpm
Feb 18,58 bpm,126 bpm
Feb 17,58 bpm,125 bpm
Feb 16,57 bpm,140 bpm
Feb 15,59 bpm,124 bpm
Feb 14,64 bpm,144 bpm
Feb 13,60 bpm,117 bpm
Feb 12,61 bpm,156 bpm
Feb 11,61 bpm,165 bpm
Feb 10,60 bpm,150 bpm
Feb 9,58 bpm,139 bpm
Feb 8,61 bpm,131 bpm
Feb 7,66 bpm,134 bpm
Feb 6,61 bpm,122 bpm
Feb 5,59 bpm,139 bpm
Feb 4,64 bpm,146 bpm
Feb 3,65 bpm,134 bpm
Feb 2,62 bpm,134 bpm
Feb 1,62 bpm,133 bpm
Jan 31,58 bpm,145 bpm
Jan 30,60 bpm,128 bpm
Jan 29,62 bpm,142 bpm
Jan 28,59 bpm,135 bpm
Jan 27,60 bpm,156 bpm
Jan 26,62 bpm,121 bpm
Jan 25,64 bpm,124 bpm
Jan 24,63 bpm,147 bpm
Jan 23,62 bpm,130 bpm
Jan 22,61 bpm,118 bpm
Jan 21,61 bpm,122 bpm
Jan 20,57 bpm,182 bpm
Jan 19,62 bpm,174 bpm
Jan 18,61 bpm,105 bpm
Jan 17,66 bpm,136 bpm
Jan 16,60 bpm,171 bpm
Jan 15,63 bpm,138 bpm
Jan 14,61 bpm,133 bpm
Jan 13,66 bpm,132 bpm
Jan 12,60 bpm,144 bpm
Jan 11,61 bpm,133 bpm
Jan 10,65 bpm,153 bpm
Jan 9,63 bpm,131 bpm
Jan 8,60 bpm,120 bpm
Jan 7,64 bpm,145 bpm
Jan 6,63 bpm,161 bpm
Jan 5,67 bpm,153 bpm
Jan 4,65 bpm,144 bpm
Jan 3,65 bpm,145 bpm
Jan 2,63 bpm,124 bpm
Jan 1,70 bpm,140 bpm
Dec 31,67 bpm,138 bpm
Dec 30,67 bpm,119 bpm
Dec 29,69 bpm,130 bpm
Dec 28,69 bpm,137 bpm
Dec 27,68 bpm,139 bpm
Dec 26,66 bpm,109 bpm
Dec 25,68 bpm,125 bpm
Dec 24,88 bpm,105 bpm