Date,Avg,Rest,Low,Medium Stress,High Stress
May 25,17,14h 8min,38min,2min,--
May 24,40,8h 38min,5h 36min,4h 59min,2h 0min
May 23,40,8h 1min,5h 49min,3h 47min,2h 14min
May 22,36,7h 14min,9h 27min,3h 59min,32min
May 21,40,6h 54min,6h 48min,4h 25min,1h 30min
May 20,35,9h 10min,7h 28min,3h 10min,54min
May 19,34,9h 15min,6h 55min,3h 56min,24min
May 18,31,9h 51min,8h 27min,2h 30min,11min
May 17,43,5h 12min,8h 16min,6h 37min,1h 12min
May 16,33,11h 12min,5h 23min,3h 36min,1h 12min
May 15,37,8h 28min,7h 49min,5h 5min,42min
May 14,58,2h 13min,4h 57min,9h 4min,4h 46min
May 13,41,5h 51min,8h 20min,4h 47min,1h 34min
May 12,36,8h 39min,7h 24min,2h 21min,2h 17min
May 11,28,9h 5min,4h 13min,1h 35min,19min
May 9,40,7h 29min,5h 23min,4h 21min,1h 58min
May 8,39,6h 23min,6h 3min,3h 59min,57min
May 7,44,6h 12min,6h 19min,6h 26min,1h 54min
May 6,33,10h 43min,6h 57min,3h 37min,46min
May 5,33,10h 43min,6h 14min,2h 31min,1h 11min
May 4,35,9h 3min,7h 16min,4h 20min,43min
May 3,39,7h 13min,7h 15min,4h 54min,1h 18min
May 2,28,11h 27min,6h 33min,1h 26min,14min
May 1,38,7h 29min,6h 37min,4h 17min,1h 4min
Apr 30,41,6h 24min,7h 32min,5h 21min,1h 26min
Apr 29,30,11h 37min,4h 28min,1h 57min,1h 34min
Apr 28,34,8h 43min,7h 3min,4h 19min,36min
Apr 27,30,13h 37min,4h 30min,3h 9min,1h 17min
Apr 22,43,1h 29min,3h 33min,2h 51min,4min
Apr 21,31,11h 23min,5h 27min,3h 18min,36min
Apr 20,28,11h 30min,6h 57min,2h 19min,18min
Apr 19,29,12h 1min,6h 31min,2h 5min,31min
Apr 18,34,9h 3min,7h 6min,3h 48min,36min
Apr 17,32,9h 18min,7h 45min,2h 46min,21min
Apr 16,37,7h 14min,8h 7min,4h 29min,52min
Apr 15,27,12h 22min,6h 30min,1h 20min,14min
Apr 14,25,12h 13min,4h 57min,1h 35min,10min
Apr 13,30,12h 22min,5h 21min,3h 4min,39min
Apr 12,35,10h 30min,5h 15min,2h 41min,2h 16min
Apr 11,32,10h 12min,7h 15min,3h 1min,35min
Apr 10,26,14h 14min,3h 38min,1h 56min,31min
Apr 9,25,14h 0min,5h 23min,1h 33min,12min
Apr 8,39,4h 3min,4h 53min,3h 28min,14min
Apr 7,33,10h 47min,6h 4min,3h 51min,37min
Apr 6,35,9h 19min,4h 50min,4h 0min,1h 11min
Apr 5,41,7h 34min,6h 18min,6h 48min,52min
Apr 4,44,7h 12min,5h 49min,5h 19min,2h 34min
Apr 3,28,12h 41min,6h 9min,1h 50min,22min
Apr 2,32,10h 33min,7h 17min,2h 39min,40min
Apr 1,36,8h 58min,6h 54min,3h 17min,1h 19min
Mar 31,35,10h 9min,6h 32min,2h 46min,1h 41min
Mar 30,32,11h 54min,4h 35min,3h 8min,1h 22min
Mar 29,32,8h 57min,6h 53min,2h 8min,53min
Mar 28,48,3h 53min,6h 47min,4h 24min,3h 5min
Mar 27,31,11h 48min,4h 43min,2h 32min,1h 0min
Mar 26,24,15h 20min,4h 38min,1h 18min,17min
Mar 25,31,10h 16min,8h 40min,3h 2min,9min
Mar 24,39,8h 39min,4h 13min,4h 35min,2h 14min
Mar 23,25,13h 43min,5h 10min,1h 21min,50min
Mar 22,32,10h 12min,8h 0min,3h 19min,29min
Mar 21,47,5h 24min,4h 58min,6h 11min,2h 55min
Mar 20,31,12h 0min,4h 43min,2h 24min,1h 5min
Mar 19,34,9h 58min,6h 58min,2h 59min,1h 12min
Mar 18,30,11h 42min,4h 29min,1h 52min,53min
Mar 17,28,12h 29min,5h 55min,2h 1min,51min
Mar 16,26,12h 30min,6h 28min,1h 56min,6min
Mar 15,35,10h 35min,4h 2min,3h 42min,2h 1min
Mar 14,32,10h 19min,5h 25min,1h 41min,1h 10min
Mar 13,29,11h 23min,5h 14min,57min,1h 16min
Mar 12,27,12h 15min,6h 39min,1h 34min,15min
Mar 11,30,11h 45min,5h 41min,1h 43min,1h 22min
Mar 10,27,13h 50min,3h 56min,1h 30min,1h 12min
Mar 9,20,8h 8min,2h 44min,25min,--
Mar 8,32,11h 2min,7h 6min,2h 43min,1h 2min
Mar 7,31,9h 39min,7h 23min,2h 33min,51min
Mar 6,30,11h 59min,3h 23min,2h 2min,2h 33min
Mar 5,32,11h 28min,4h 33min,2h 10min,2h 13min
Mar 4,27,12h 51min,3h 42min,2h 14min,45min
Mar 3,26,13h 31min,5h 12min,1h 53min,1h 4min
Mar 2,29,11h 37min,4h 28min,3h 51min,1h 2min
Mar 1,37,8h 33min,6h 18min,5h 31min,36min
Feb 28,47,4h 50min,5h 9min,5h 16min,2h 19min
Feb 27,31,10h 35min,5h 28min,2h 23min,58min
Feb 26,36,7h 41min,8h 27min,3h 48min,51min
Feb 25,35,11h 0min,2h 54min,3h 14min,2h 36min
Feb 24,41,8h 9min,4h 12min,5h 0min,2h 17min
Feb 23,31,11h 44min,3h 54min,2h 21min,1h 43min
Feb 22,29,12h 2min,6h 10min,2h 39min,46min
Feb 21,27,10h 45min,8h 43min,1h 9min,5min
Feb 20,32,11h 9min,6h 8min,3h 6min,38min
Feb 19,24,10h 53min,3h 53min,47min,16min
Feb 18,23,16h 26min,4h 16min,25min,23min
Feb 17,30,11h 21min,5h 29min,1h 57min,52min
Feb 16,30,12h 2min,6h 21min,3h 19min,35min
Feb 15,34,9h 11min,7h 53min,4h 37min,34min
Feb 14,38,4h 35min,10h 44min,3h 10min,1h 6min
Feb 13,30,13h 3min,4h 26min,2h 27min,31min
Feb 12,28,12h 22min,5h 26min,1h 42min,23min
Feb 11,33,9h 52min,6h 52min,2h 5min,1h 7min
Feb 10,30,10h 47min,3h 52min,1h 53min,59min
Feb 9,23,15h 22min,3h 27min,1h 12min,18min
Feb 8,29,11h 20min,7h 6min,1h 36min,28min
Feb 7,55,1h 3min,7h 29min,6h 44min,3h 36min
Feb 6,33,9h 30min,6h 35min,3h 28min,33min
Feb 5,30,10h 28min,7h 7min,2h 7min,43min
Feb 4,25,13h 30min,5h 18min,1h 2min,9min
Feb 3,45,2h 5min,3h 9min,2h 6min,57min
Feb 2,28,12h 10min,4h 43min,2h 16min,26min
Feb 1,30,11h 54min,5h 41min,3h 20min,32min
Jan 31,38,9h 12min,5h 35min,3h 54min,2h 37min
Jan 30,32,11h 48min,5h 8min,1h 44min,1h 45min
Jan 29,30,10h 52min,6h 44min,2h 13min,27min
Jan 28,27,12h 49min,4h 13min,1h 33min,51min
Jan 27,26,13h 24min,4h 27min,1h 37min,29min
Jan 26,33,9h 41min,6h 22min,2h 58min,1h 14min
Jan 25,37,6h 44min,8h 42min,3h 17min,51min
Jan 24,29,8h 54min,6h 41min,1h 23min,11min
Jan 23,30,11h 5min,6h 52min,1h 53min,43min
Jan 22,28,11h 43min,7h 20min,1h 38min,25min
Jan 21,28,14h 5min,3h 22min,2h 11min,1h 4min
Jan 20,24,13h 28min,5h 1min,1h 37min,8min
Jan 19,28,10h 20min,6h 17min,1h 43min,28min
Jan 18,21,16h 21min,4h 24min,50min,7min
Jan 17,34,7h 45min,9h 16min,3h 24min,15min
Jan 16,30,10h 40min,3h 24min,1h 15min,1h 20min
Jan 15,29,11h 28min,5h 51min,1h 43min,40min
Jan 14,32,10h 17min,6h 2min,3h 2min,46min
Jan 13,55,18min,1h 8min,2h 16min,21min
Jan 12,22,15h 25min,3h 13min,38min,12min
Jan 11,27,12h 46min,6h 34min,2h 13min,5min
Jan 10,32,11h 9min,3h 23min,2h 45min,58min
Jan 9,28,12h 1min,7h 10min,1h 48min,18min
Jan 8,23,14h 50min,4h 11min,1h 26min,7min
Jan 7,28,9h 16min,7h 56min,1h 12min,3min
Jan 5,24,13h 41min,3h 54min,1h 5min,4min
Jan 4,28,10h 54min,7h 12min,1h 18min,6min
Jan 3,32,8h 25min,6h 40min,2h 10min,52min
Jan 2,24,13h 5min,3h 25min,1h 21min,17min
Jan 1,37,6h 45min,8h 17min,2h 51min,1h 21min
Dec 31,35,9h 47min,3h 41min,2h 8min,1h 58min
Dec 30,28,8h 9min,3h 27min,1h 29min,1min
Dec 29,33,9h 28min,6h 51min,2h 27min,51min
Dec 28,35,8h 19min,7h 28min,3h 3min,45min
Dec 27,33,8h 39min,7h 34min,2h 58min,8min
Dec 26,24,14h 43min,5h 41min,49min,7min
Dec 25,34,7h 31min,9h 9min,2h 22min,35min
Dec 24,72,--,16min,1h 26min,1h 22min